timestamp,strategy,n_eligible,n_busy,n_pass_long,n_pass_short,n_score_cut,n_candidates,top_long_blocker,top_long_blocker_n,top_short_blocker,top_short_blocker_n,long_blockers,short_blockers
2026-09-04T20:05:27Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:06:39Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:06:39Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:06:39Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:06:39Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:07:40Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:07:40Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:07:40Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:07:40Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:08:41Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:08:41Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:08:41Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:08:41Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:09:51Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:09:51Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:09:51Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:09:51Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:11:02Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:11:02Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:11:02Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,7,ret_30m<=6;range_pos<=1,ret_30m>=7
2026-09-04T20:11:02Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:12:14Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:12:14Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:12:14Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,7,ret_30m<=6;range_pos<=1,ret_30m>=7
2026-09-04T20:12:14Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:17:17Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:17:17Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:17:17Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,7,ret_30m<=6;range_pos<=1,ret_30m>=7
